,name,address,icon,userComment,tags
293,Le Cèdre,"6 Rue Mouffetard, 75005 Paris, France",restaurant,,Libanais 🇱🇧#🍴 inconnu#À faire
294,Ricci Eiffel,73 Avenue Bosquet 75007 Paris France,restaurant,,Restaurant#💸💸#À faire
295,Foucade Paris,"17 Rue Duphot, 75001 Paris, France",cafe,,Pâtisseries#💸💸#À faire
296,Tomo,"11 Rue Chabanais, 75002 Paris, France",cafe,Japonais,Pâtisseries#Asiat#À faire#💸💸#Salon de thé 🍵
297,Bulliz,"14 Rue d'Hauteville, 75010 Paris, France",restaurant,,🍴 inconnu#Pâtisseries#À faire
298,MARDI CREPE CLUB,"137 Rue Montmartre, 75002 Paris, France",shopping,,💸#Crêperie#Validé ✅
299,Louie Louie,"78 Rue de Charonne, Paris 75011",restaurant,,💸💸#Pizza 🍕#Validé ✅
300,L'équilibre,"29 Boulevard Malesherbes, 75008 Paris, France",restaurant,,Restaurant#💸💸#À faire
301,Crêperie Gigi,"4 Rue de la Corderie, 75003 Paris, France",restaurant,,À faire#💸💸#Crêperie
302,Rivoluzione,"24 Rue des Taillandiers, 75011 Paris, France",restaurant,,🍴 inconnu#Pizza 🍕#À faire
303,Umami Matcha Cafe,22 Rue Béranger Paris France,restaurant,,Café#💸💸#Asiat#À faire
304,Gallika Madeleine - Restaurant grec,"7 Rue Godot de Mauroy, Paris 75009",restaurant,,💸💸#Grec 🇬🇷#À faire
305,L'Alsacien Châtelet,"6 rue saint bon, Paris 75004",restaurant,,Restaurant#💸#À faire#TheFork 🍴
306,Pasta Linea,"9 Rue de Turenne, 75004 Paris, France",restaurant,,🍴 inconnu#Pâtes 🍝#À faire
307,Da Vito,"5 Rue Sedaine, Paris 75011",restaurant,,Pizza 🍕#À faire
308,We are Juice,"34 Rue des Jeuneurs, 75002 Paris, France",restaurant,,💸💸#Sandwich 🥪#À faire
309,Clasico Argentino Marais,"56 Rue de Saintonge, 75003 Paris, France",restaurant,,💸💸#Hispanique#À faire
310,Sugarplum Cake Shop,68 Rue du Cardinal Lemoine Paris France,supermarket,,Café#🍴 inconnu#À faire
311,Croccante,"138 Rue de Vaugirard, 75015 Paris, France",restaurant,,Restaurant#🍴 inconnu#Epicierie#Italien 🇮🇹#À faire
312,CREPOLOG,"21 Rue Neuve Saint-Pierre, 75004 Paris, France",shopping,,💸💸#Crêperie#Validé ✅
313,Yingdeaw homemade,"Siam Square Soi 5 Pathumwan Bangkok, แขวง ปทุมวัน เขต ปทุมวัน กรุงเทพมหานคร 10330, Thaïlande",restaurant,,Pâtisseries#À faire
314,Murray's Bagels,"500 Avenue of the Americas, New York, NY 10011, États-Unis",restaurant,,Sandwich 🥪#💸💸#À faire
315,Bio Sphère Café,"47 Rue de Laborde, 75008 Paris, France",shopping,,Café#Bio/Vegan#💸💸#À faire
316,Maison Aleph,"20 Rue de la Verrerie, 75004 Paris, France",restaurant,,Pâtisseries#💸💸#À faire
317,Magnolia Bakery,"1240 6th Ave New York, NY 10020 USA",supermarket,,Pâtisseries#💸💸#À faire
318,Maison Dandoy - Galeries,BeenhouwersStraat Brussels Belgium,supermarket,,Pâtisseries#💸💸#À faire
319,Délices Magic Beau Gosse,"25 Boulevard des Alliés, 14000 Caen, France",restaurant,,💸#Grec 🥙#Halal#Validé ✅
320,Shake Shack,"Bloomsbury Plaza, 56B New Oxford St, London WC1A 1ES, Royaume-Uni",restaurant,,Burger 🍔🍟#Validé ✅
321,Mark Toney & Co Ltd,"53 Grainger St, Newcastle upon Tyne NE1 5JE, Royaume-Uni",cafe,,Restaurant#À faire
322,Heart Attack Grill,"450 Fremont St Las Vegas, NV 89101 USA",fastfood,,Burger 🍔🍟#Florian On Air#À faire
323,R&G Lounge,"631 Kearny St, San Francisco, CA 94108, États-Unis",restaurant,,Restaurant#Florian On Air#Poisson 🐟#À faire
324,Ike'Spress Sandwiches,"66 Powell St San Francisco, CA 94102 USA",fastfood,,Restaurant#Florian On Air#À faire
325,Take Otac,"89 Rue d'Avron, 75020 Paris, France",restaurant,,Halal#Florian On Air#💸#Hispanique#À faire#TheFork 🍴
326,Naan Factory's,78 Avenue Anatole France 93600 Aulnay-sous-Bois France,fastfood,,Florian On Air#Snack#🍴 inconnu
327,Sweetea's,"61 Rue des Gravilliers, 75003 Paris, France",restaurant,,Restaurant#Florian On Air#💸💸#Réservation#À faire
328,Eat Salad,"19 Boulevard Montmartre, 75002 Paris, France",restaurant,,Restaurant#Florian On Air#💸#À faire
329,C La Que C Bon,10 Passage de l'Image Saint-Martin 94000 Créteil France,restaurant,,Restaurant#Florian On Air#🍴 inconnu#À faire
330,La Banquette,"2 Rue de la Prévoyance, 94300 Vincennes, France",shopping,,Florian On Air#💸💸#Crêperie#À faire
331,Creperie LA GALANTE,"16 Rue Arthur Fontaine, 93700 Drancy, France",restaurant,,Crêperie#Florian On Air#À faire
332,21 Coree,40 Rue Carnot 92100 Boulogne-Billancourt France,restaurant,Coréen,Florian On Air#Asiat#💸💸#À faire
333,La Goutte d'Or Pâtisserie,"183 Rue Marcadet, 75018 Paris, France",restaurant,,Florian On Air#Pâtisseries#Validé ✅
334,Domicile Pizza,10 Rue Adolphe Mille 75019 Paris France,restaurant,,Florian On Air#💸#Fait ✔️#Halal
335,Roberta,5 bis rue la Vieuville Abbesses Paris 75018,restaurant,,Florian On Air#💸💸#Pizza 🍕#À faire#TheFork 🍴
336,PHARE WEST CRÊPERIE,"117 Rue Louis Rouquier, 92300 Levallois-Perret, France",restaurant,,Florian On Air#Crêperie#🍴 inconnu#À faire
337,Home'Lette,8 Avenue de la Résistance France,restaurant,,Florian On Air#🍴 inconnu#Sandwich 🥪#Gâteau 🎂#À faire
338,Maison Lebon,"13 Rue Lebon, 75017 Paris, France",restaurant,Produits suédois,Florian On Air#Suédois 🇸🇪#À faire
339,Le Broc du Vieux Lille,"32 Place Louise de Bettignies, 59000 Lille, France",restaurant,,Florian On Air#Restaurant#💸💸#Zenchef#À faire
340,Soho Urban Food,14 Rue Léon Trulin Lille France,restaurant,,Florian On Air#À faire
341,Les Tontons Afro,"42 Rue de La Monnaie, Lille 59000",restaurant,,Florian On Air#Africain#Burger 🍔🍟#💸💸#Validé ✅#Zenchef
342,Burger Station,Rue Pierre Mauroy 59800 Lille France,shopping,,Florian On Air#Burger 🍔🍟#À faire
343,Brasserie La Chicorée,"15 Place Rihour, 59000 Lille, France",restaurant,,Florian On Air#Bar#À faire
344,Twister French Food.,182 Rue Pierre Legrand 59800 Lille France,fastfood,,Florian On Air#Snack#À faire
345,Mitico,"48 Grand Rue, 67000 Strasbourg, France",restaurant,,Florian On Air#Italien 🇮🇹#💸#À faire
